Query,DuckDB native,DuckDB Yannakakis,DuckDB rewrite,PostgreSQL native,PostgreSQL Yannakakis,PostgreSQL rewrite,Spark native,Spark Yannakakis,Spark rewrite
q1a,15.476,15.374000,15.009000,0,0,0.167000,0,0,0
q1b,27.333,0.345000,0.057000,0,2296.018000,543.940000,0,0,0
q1c,0,0.906000,0.085000,0,10321.105000,588.864000,0,0,0
q2a,0,0,0,0,0,0,0,0,0
q2b,0,18.237000,0.707000,0,0,0.172000,0,0,0
q3a,0,0.002000,0.001000,0,0.128000,0.098000,0,0,0
q3b,25.101,0.503000,0.058000,0,2672.451000,724.889000,0,0,0
q3c,0,1.132000,0.068000,0,13048.249000,705.945000,0,0,0
q4a,6.698,0.435000,0.064000,0,0.112000,527.347000,0,0,0
q4b,27.694,0.428000,0.047000,0,2308.564000,572.534000,0,0,0
q5a_dblp,7.314,0.301000,0.128000,0,1589.760000,2189.211000,0,0,0
q5a_epinions,0,1.862000,0.079000,0,0.196000,1187.938000,0,0,0
q5a_google,0,1.282000,0.149000,0,10335.460000,8683.131000,0,0,0
q6,7.863,2.808000,3.055000,0,576.164000,0,4.881,0,5.965
q7,0,0.032000,0.002000,0,486.898000,0.362000,3.688,0,7.953
q8,0,0.022000,0.103000,0,27.824000,827.088000,4.912,0,4.480
q9,3.405,0.166000,0.086000,450.400000,6413.919000,833.414000,4.121,0,1.856
